State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3),PM2.5     Wtd AM (µg/m3),PM2.5     24-hr (µg/m3),SO2         1-hr (ppb)
Alabama,Baldwin County,1003.0,182265.0,,,,,0.065,,7.6,18.0,
Alabama,Clay County,1027.0,13932.0,,,,,,,,,
Alabama,Colbert County,1033.0,54428.0,,,,,,,,,
Alabama,DeKalb County,1049.0,71109.0,,,,,0.066,,8.9,21.0,
Alabama,Elmore County,1051.0,79303.0,,,,,0.061,,,,
Alabama,Escambia County,1053.0,38319.0,,,,,,,,,
Alabama,Etowah County,1055.0,104430.0,,,,,0.065,,9.8,22.0,
Alabama,Houston County,1069.0,101547.0,,,,,,,,,
Alabama,Jefferson County,1073.0,658466.0,1.0,,9.0,40.0,0.075,90.0,10.1,24.0,12.0
Alabama,Madison County,1089.0,334811.0,,,,,0.067,61.0,8.6,21.0,
Alabama,Mobile County,1097.0,412992.0,,,,,0.064,47.0,8.7,19.0,
Alabama,Montgomery County,1101.0,229363.0,,,,,0.065,32.0,10.3,21.0,
Alabama,Morgan County,1103.0,119490.0,,,,,0.069,,7.3,17.0,
Alabama,Pike County,1109.0,32899.0,,0.15,,,,,,,
Alabama,Russell County,1113.0,52947.0,,,,,0.064,,9.5,25.0,
Alabama,Shelby County,1117.0,195085.0,,,,,0.065,,,,55.0
Alabama,Sumter County,1119.0,13763.0,,,,,0.056,,5.4,18.0,5.0
Alabama,Talladega County,1121.0,82291.0,,,,,,,,,
Alabama,Tuscaloosa County,1125.0,194656.0,,,,,0.063,,8.1,21.0,
Alabama,Walker County,1127.0,67023.0,,,,,,,,,
Alaska,Anchorage Municipality,2020.0,291826.0,2.0,,,,,88.0,4.2,14.0,
Alaska,Denali Borough,2068.0,1826.0,,,,,0.049,,,,
Alaska,Fairbanks North Star Borough,2090.0,97581.0,2.0,,,,0.05,138.0,11.7,63.0,15.0
